,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
80,1929739,Condo in Dolphins Barn · ★4.88 · 2 bedrooms · 3 beds · 2 baths,9084049,Jose&Vadym,D08,Dublin City,53.33697,-6.29251,Private room,120,1,83,2022-10-21,0.72,3,0,1,
81,1943366,Condo in Dublin · ★4.81 · 1 bedroom · 2 beds · 1 bath,1557844,Liam And Fiona,D07,Dublin City,53.35691,-6.29164,Entire home/apt,180,2,154,2023-06-04,1.39,8,203,28,
82,1963074,Home in Glasnevin · ★4.96 · 1 bedroom · 1 bed · 1 private bath,10124896,Robyn,D09,Dublin City,53.39105,-6.27775,Private room,131,1,662,2023-05-28,6.14,1,99,72,
83,2026810,Home in Ranelagh · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,6782586,Mary,D06,Dublin City,53.32338,-6.25333,Private room,53,3,324,2023-06-05,2.86,2,248,47,
84,2069629,Rental unit in North Lotts · ★4.68 · 1 bedroom · 1 bed · 1 bath,10583714,Michelle,D01,Dublin City,53.34665,-6.26371,Entire home/apt,95,14,64,2019-06-13,0.72,1,0,0,
85,2084913,Rental unit in Dublin · ★4.79 · 1 bedroom · 1 bed · 1 bath,5670240,Patricia,D01,Dublin City,53.34932,-6.26709,Private room,80,2,48,2016-10-21,0.48,1,145,0,
86,2121887,Rental unit in Dublin · ★4.71 · 2 bedrooms · 2 beds · 2 baths,4681988,Gareth,D02,Dublin City,53.33914,-6.26709,Entire home/apt,70,2,7,2018-01-28,0.09,1,0,0,
87,2162973,Rental unit in Dublin · ★4.82 · 1 bedroom · 1 bed · 1 bath,1467387,Ali,D06,Dublin City,53.32147,-6.24967,Entire home/apt,125,14,58,2022-07-09,0.51,1,0,1,
88,2165074,Condo in Santry · ★4.83 · 1 bedroom · 7 beds · 1 bath,11047034,Cynthia,D09,Dublin City,53.39551,-6.26308,Entire home/apt,120,3,122,2023-04-10,1.09,2,52,5,
89,2202076,Rental unit in Killiney · 2 bedrooms · 3 beds · 2 baths,503635,Rory,A96,Dn Laoghaire-Rathdown,53.26852,-6.11418,Entire home/apt,100,3,0,,,1,0,0,
90,2215722,Home in Clontarf · 1 bedroom · 3 beds · 1 shared bath,11294447,Jim,D03,Dublin City,53.37106,-6.19743,Private room,120,1,0,,,1,0,0,
91,2295609,Home in Dublin · 5 bedrooms · 5 beds · 2.5 baths,11725628,Martina,D08,Dublin City,53.33821,-6.30562,Entire home/apt,180,7,0,,,1,0,0,
92,2385640,Home in Dublin · 5 bedrooms · 6 beds · 4.5 baths,12185528,Gareth,A96,Dn Laoghaire-Rathdown,53.28973,-6.1284,Entire home/apt,179,10,1,2018-07-19,0.02,1,0,0,
93,2394893,Bed and breakfast in Santry · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,12173057,Maeve & Ken,D09,Dublin City,53.39058,-6.24692,Private room,58,2,243,2022-08-11,2.21,2,123,2,
94,2415104,Home in Dublin · ★4.90 · 2 bedrooms · 4 beds · 1.5 baths,5580678,Lex,D08,Dublin City,53.33364,-6.26584,Entire home/apt,577,5,266,2023-06-04,2.37,6,221,17,
95,2450893,Home in Dublin · 3 bedrooms · 4 beds · 2.5 baths,12527734,Susan,D14,Dn Laoghaire-Rathdown,53.29865,-6.2436,Entire home/apt,400,7,0,,,1,28,0,
96,2466169,Rental unit in Dublin · ★4.65 · Studio · 1 bed · 1 bath,11823727,Claudio,D08,Dublin City,53.34526,-6.28195,Entire home/apt,140,3,225,2023-05-28,2.04,1,13,16,
97,2471794,Townhouse in Dun Laoghaire · ★4.90 · 1 bedroom · 2 beds · 1.5 baths,12640966,Dorothy,A96,Dn Laoghaire-Rathdown,53.2858,-6.13467,Private room,95,2,132,2023-05-28,1.2,1,126,35,
98,2481147,Serviced apartment in Dublin · ★4.62 · 3 bedrooms · 5 beds · 2 baths,234243,Johnny,D02,Dublin City,53.34573,-6.23746,Entire home/apt,245,3,34,2023-04-20,0.4,38,0,11,
99,2486255,Home in Lucan · 1 bedroom · 1 bed · 1 private bath,2115318,Siobhan,K78,South Dublin,53.35167,-6.45042,Private room,115,1,0,,,3,301,0,
100,2489550,Condo in Dublin · ★4.88 · 1 bedroom · 2 beds · 1 bath,12036741,Micheál,D08,Dublin City,53.3436,-6.2673,Entire home/apt,138,14,462,2023-06-05,4.21,16,104,16,
101,2490267,Rental unit in Dublin · ★4.59 · 1 bedroom · 1 bed · 2 baths,12747019,Conor,D08,Dublin City,53.34277,-6.30266,Private room,92,3,173,2023-05-22,1.74,1,60,14,
102,2514537,Home in Dublin · 3 bedrooms · 3 beds · 2 baths,12701356,Amy,D03,Dublin City,53.36559,-6.22861,Entire home/apt,110,5,2,2018-04-03,0.03,1,0,0,
103,2574203,Townhouse in Ballyfermot · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,13054321,Conor,D08,Dublin City,53.34223,-6.33011,Private room,58,2,424,2023-06-09,3.78,1,262,73,
104,2607040,Tiny home in Dublin · ★4.75 · 1 bedroom · 1 bed · 1 bath,13350457,Lisa,D08,Dublin City,53.33461,-6.27329,Entire home/apt,157,2,65,2023-05-22,0.58,1,23,13,
105,2610590,Home in Dublin · 3 bedrooms · 4 beds · 2 baths,5550624,Aideen,D08,Dublin City,53.33665,-6.27844,Entire home/apt,160,2,2,2020-03-13,0.02,1,0,0,
106,2614726,Rental unit in Drumcondra · ★4.50 · 1 bedroom · 1 bed · 2 baths,13013536,Corina,D01,Dublin City,53.36343,-6.24903,Private room,110,1,6,2015-01-02,0.05,1,0,0,
107,2620389,Condo in Dublin · ★4.17 · 1 bedroom · 1 bed · 1 shared bath,12076665,Erik,D07,Dublin City,53.35186,-6.27579,Shared room,38,1,6,2016-09-11,0.07,1,0,0,
108,2635493,Home in Donnybrook · 3 bedrooms · 4 beds · 2 baths,67159,John,D04,Dublin City,53.31822,-6.23711,Entire home/apt,200,1,1,2014-09-30,0.01,1,0,0,
109,2647405,Rental unit in Dublin · ★4.61 · 1 bedroom · 1 bed · 1 private bath,9924228,Barry,D04,Dublin City,53.33974,-6.23378,Private room,65,2,70,2018-04-24,0.63,1,0,0,
110,2671586,Home in Santry · 3 bedrooms · 3 beds · 2 baths,13675875,Bernadette,D09,Dublin City,53.38946,-6.24341,Entire home/apt,97,7,1,2016-07-23,0.01,1,0,0,
111,2685349,Rental unit in Ballsbridge · ★4.87 · 3 bedrooms · 5 beds · 2 baths,13736584,Rachel,D04,Dublin City,53.33408,-6.23764,Entire home/apt,290,2,106,2016-12-18,0.97,2,0,0,
112,2686112,Rental unit in Dublin · ★4.58 · 1 bedroom · 1 bed · 2 baths,13748399,Antonio,D01,Dublin City,53.35322,-6.26188,Private room,150,3,75,2023-03-19,0.67,1,191,6,
113,2691951,Guest suite in Blackrock · ★4.96 · 2 bedrooms · 2 beds · 1 bath,11437558,Laura,A91,Dn Laoghaire-Rathdown,53.31019,-6.20477,Entire home/apt,250,2,95,2023-06-04,2.22,1,285,39,
114,2703497,Home in Dublin · ★5.0 · 2 bedrooms · 1 bed · 1 bath,13811619,Padraig,A96,Dn Laoghaire-Rathdown,53.29444,-6.14328,Entire home/apt,350,2,3,2022-09-18,0.26,1,3,3,
115,2719863,Rental unit in Dublin · ★4.33 · 2 bedrooms · 1 bed · 1 shared bath,9333782,Fatima,D08,Dublin City,53.34403,-6.2766,Private room,73,2,3,2014-05-26,0.03,1,0,0,
116,2734096,Rental unit in Dublin · ★4.91 · 1 bedroom · 1 bed · 1 private bath,11211199,Dave,D02,Dublin City,53.34374,-6.23594,Private room,210,3,24,2022-09-13,0.22,1,362,4,
117,2754860,Home in Garristown · ★5.0 · 6 bedrooms · 9 beds · 4 baths,14091285,Bella,A42,Fingal,53.56748,-6.38298,Entire home/apt,350,7,7,2022-08-06,0.1,1,133,3,
118,2760521,Rental unit in Dublin · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,3846772,Sag,D02,Dublin City,53.346,-6.23933,Entire home/apt,77,28,6,2021-12-30,0.06,19,0,0,
